"zip code", "state abbreviation", "latitude", "longitude", "city", "state"
"35004", "AL", " 33.606379", " -86.50249", "Moody", "Alabama"
"35005", "AL", " 33.592585", " -86.95969", "Adamsville", "Alabama"
"35006", "AL", " 33.451714", " -87.23957", "Adger", "Alabama"
"35007", "AL", " 33.232422", " -86.80871", "Alabaster", "Alabama"
"35010", "AL", " 32.903432", " -85.92669", "Alexander City", "Alabama"
"35014", "AL", " 33.355960", " -86.27720", "Alpine", "Alabama"
"35016", "AL", " 34.323715", " -86.49278", "Arab", "Alabama"
"35019", "AL", " 34.292540", " -86.63505", "Baileyton", "Alabama"
"35020", "AL", " 33.405559", " -86.95141", "Bessemer", "Alabama"
"35022", "AL", " 33.346817", " -86.95252", "Bessemer", "Alabama"
"35023", "AL", " 33.443039", " -87.01930", "Bessemer", "Alabama"
"35031", "AL", " 34.111425", " -86.53380", "Blountsville", "Alabama"
"35033", "AL", " 33.952939", " -87.02889", "Bremen", "Alabama"
"35034", "AL", " 32.915182", " -87.21488", "Brent", "Alabama"
"35035", "AL", " 33.041166", " -86.95117", "Brierfield", "Alabama"

